iteration,startX,startY,goalX,goalY,algorithm,heuristic,map,width,height,size,density,distance,blocked,nodesExpanded,nodesGenerated,nodesVisited,nodesExcluded,jumpPoints,jumpPointChecks,foundGoal,steps,time
0,91,19,54,31,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,49.0,4105,97,167,98,97,0,0,true,81,13.715
0,91,19,54,31,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,49.0,4105,58,102,59,58,102,164,true,65,6.218
1,39,3,50,114,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,122.0,4105,169,332,170,169,0,0,true,225,16.124
1,39,3,50,114,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,122.0,4105,115,253,116,115,253,403,true,169,13.121
2,19,102,17,32,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,72.0,4105,151,248,152,151,0,0,true,141,13.892
2,19,102,17,32,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,72.0,4105,87,160,88,87,160,271,true,102,4.714
3,108,47,40,40,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,75.0,4105,69,162,70,69,0,0,true,139,2.505
3,108,47,40,40,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,75.0,4105,36,105,37,36,105,159,true,105,3.174
4,121,124,89,58,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,98.0,4105,70,199,71,70,0,0,true,141,3.703
4,121,124,89,58,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,98.0,4105,57,146,58,57,146,233,true,124,2.665
5,1,37,59,27,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,68.0,4105,88,198,89,88,0,0,true,121,5.708
5,1,37,59,27,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,68.0,4105,53,145,54,53,145,236,true,93,3.401
6,93,70,97,80,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,14.0,4105,13,38,14,13,0,0,true,21,0.751
6,93,70,97,80,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,14.0,4105,11,31,12,11,31,54,true,20,0.575
7,62,66,101,13,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,92.0,4105,68,199,69,68,0,0,true,115,3.518
7,62,66,101,13,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,92.0,4105,73,162,74,73,162,267,true,111,2.276
8,110,57,98,108,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,63.0,4105,51,135,52,51,0,0,true,103,3.435
8,110,57,98,108,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,63.0,4105,34,91,35,34,91,138,true,84,1.245
9,37,55,60,101,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,69.0,4105,68,166,69,68,0,0,true,99,2.162
9,37,55,60,101,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,69.0,4105,56,128,57,56,128,209,true,89,1.976
10,68,30,55,122,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,105.0,4105,135,300,136,135,0,0,true,185,5.577
10,68,30,55,122,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,105.0,4105,84,224,85,84,224,368,true,144,2.905
11,108,91,112,103,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,16.0,4105,12,37,13,12,0,0,true,25,0.578
11,108,91,112,103,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,16.0,4105,10,28,11,10,28,46,true,23,0.593
12,14,8,124,47,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,149.0,4105,118,310,119,118,0,0,true,237,4.797
12,14,8,124,47,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,149.0,4105,81,216,82,81,216,333,true,193,2.529
13,101,106,70,111,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,36.0,4105,47,105,48,47,0,0,true,65,1.851
13,101,106,70,111,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,36.0,4105,31,82,32,31,82,134,true,51,1.102
14,58,28,104,2,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,72.0,4105,87,191,88,87,0,0,true,101,3.833
14,58,28,104,2,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,72.0,4105,65,134,66,65,134,221,true,89,2.823
15,91,53,96,106,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,58.0,4105,53,125,54,53,0,0,true,107,1.875
15,91,53,96,106,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,58.0,4105,27,80,28,27,80,118,true,81,0.935
16,110,7,31,55,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,127.0,4105,110,294,111,110,0,0,true,179,3.233
16,110,7,31,55,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,127.0,4105,93,231,94,93,231,374,true,157,3.757
17,88,105,19,93,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,81.0,4105,195,309,196,195,0,0,true,143,5.439
17,88,105,19,93,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,81.0,4105,104,178,105,104,178,293,true,109,3.604
18,49,79,16,123,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,77.0,4105,58,167,59,58,0,0,true,95,1.569
18,49,79,16,123,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,77.0,4105,87,159,88,87,159,268,true,95,2.137
19,57,112,7,59,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,103.0,4105,59,205,60,59,0,0,true,119,1.938
19,57,112,7,59,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,103.0,4105,67,165,68,67,165,265,true,119,2.819
20,54,36,39,122,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,101.0,4105,123,261,124,123,0,0,true,173,2.854
20,54,36,39,122,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,101.0,4105,91,201,92,91,201,323,true,137,2.805
21,121,22,1,117,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,215.0,4105,134,424,135,134,0,0,true,269,2.384
21,121,22,1,117,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,215.0,4105,132,332,133,132,332,534,true,253,3.35
22,2,75,84,24,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,133.0,4105,125,307,126,125,0,0,true,179,1.889
22,2,75,84,24,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,133.0,4105,104,232,105,104,232,388,true,162,2.373
23,103,8,84,110,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,121.0,4105,103,256,104,103,0,0,true,207,2.25
23,103,8,84,110,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,121.0,4105,62,170,63,62,170,256,true,163,1.949
24,17,18,9,50,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,40.0,4105,67,125,68,67,0,0,true,65,1.506
24,17,18,9,50,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,40.0,4105,45,82,46,45,82,132,true,53,1.424
25,69,91,87,50,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,59.0,4105,85,169,86,85,0,0,true,87,1.79
25,69,91,87,50,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,59.0,4105,108,167,109,108,167,275,true,79,2.159
26,40,68,28,121,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,65.0,4105,55,137,56,55,0,0,true,111,1.143
26,40,68,28,121,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,65.0,4105,34,93,35,34,93,136,true,89,1.121
27,37,104,27,121,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,27.0,4105,20,65,21,20,0,0,true,35,0.311
27,37,104,27,121,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,27.0,4105,18,51,19,18,51,86,true,33,0.486
28,102,44,27,51,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,82.0,4105,164,275,165,164,0,0,true,155,1.756
28,102,44,27,51,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,82.0,4105,101,188,102,101,188,314,true,117,1.649
29,124,106,2,12,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,216.0,4105,136,427,137,136,0,0,true,273,1.804
29,124,106,2,12,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,216.0,4105,133,334,134,133,334,540,true,256,1.912
30,106,58,98,48,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,18.0,4105,11,38,12,11,0,0,true,23,0.129
30,106,58,98,48,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,18.0,4105,10,27,11,10,27,40,true,22,0.328
31,95,89,91,112,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,27.0,4105,23,60,24,23,0,0,true,47,0.284
31,95,89,91,112,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,27.0,4105,14,41,15,14,41,60,true,38,0.287
32,94,12,112,16,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,22.0,4105,34,70,35,34,0,0,true,39,0.335
32,94,12,112,16,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,22.0,4105,23,48,24,23,48,85,true,31,0.384
33,92,24,34,17,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,65.0,4105,122,210,123,122,0,0,true,119,1.266
33,92,24,34,17,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,65.0,4105,73,138,74,73,138,226,true,89,1.371
34,89,2,101,28,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,38.0,4105,37,95,38,37,0,0,true,53,0.92
34,89,2,101,28,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,38.0,4105,37,72,38,37,72,120,true,47,0.535
35,76,42,2,49,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,81.0,4105,76,176,77,76,0,0,true,153,0.735
35,76,42,2,49,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,81.0,4105,38,111,39,38,111,162,true,114,0.593
36,31,112,105,15,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,171.0,4105,106,341,107,106,0,0,true,213,0.724
36,31,112,105,15,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,171.0,4105,105,265,106,105,265,432,true,203,1.544
37,64,93,102,24,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,107.0,4105,96,247,97,96,0,0,true,147,0.862
37,64,93,102,24,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,107.0,4105,81,191,82,81,191,308,true,133,1.198
38,94,42,70,32,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,34.0,4105,34,86,35,34,0,0,true,51,0.237
38,94,42,70,32,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,34.0,4105,26,62,27,26,62,101,true,43,0.431
39,60,93,27,119,ASTAR,Manhattan,Paths_125x125c,125,125,15625,0.26272,59.0,4105,39,122,40,39,0,0,true,79,0.376
39,60,93,27,119,JPS,Manhattan,Paths_125x125c,125,125,15625,0.26272,59.0,4105,39,100,40,39,100,160,true,74,0.447
